zone,forecast_hour,rank,patch_y,patch_x,attention,attention_norm
NH,12,3,5,0,0.025188392028212547,0.027773615043907157
NH,12,4,2,0,0.02479659579694271,0.027341606613565356
NH,12,5,4,1,0.01984819583594799,0.021885325186548617
NH,12,6,1,0,0.018028566613793373,0.019878937423401164
NH,12,7,6,0,0.016609633341431618,0.01831437123611035
NH,12,8,7,0,0.01507699117064476,0.016624425581627335
NH,13,1,4,0,0.028433237224817276,0.03153742247743025
NH,13,2,5,0,0.027106942608952522,0.030066330272932366
NH,13,3,3,0,0.026418425142765045,0.029302644237376357
NH,13,4,2,0,0.025515291839838028,0.028300911782410378
NH,13,5,4,1,0.020869199186563492,0.023147584156820406
NH,13,6,1,0,0.018823642283678055,0.02087870454463139
NH,13,7,6,0,0.016466578468680382,0.018264309400241607
NH,13,8,0,0,0.015165719203650951,0.016821429439000182
NH,14,1,4,0,0.029682517051696777,0.03295230676040825
NH,14,2,5,0,0.028103772550821304,0.03119964969973683
NH,14,3,3,0,0.02724972367286682,0.03025151984384478
NH,14,4,2,0,0.026172645390033722,0.029055791937108475
NH,14,5,4,1,0.022057736292481422,0.024487589495328463
NH,14,6,1,0,0.019817886874079704,0.02200100100946162
NH,14,7,0,0,0.015971332788467407,0.0177307152389241
NH,14,8,6,0,0.01583225093781948,0.017576312302024458
NH,15,1,4,0,0.03075307607650757,0.03399006383506498
NH,15,2,5,0,0.028040556237101555,0.03099203130440306
NH,15,3,3,0,0.02783469296991825,0.030764499412131614
NH,15,4,2,0,0.02670263685286045,0.02951328605097245
NH,15,5,4,1,0.023164505138993263,0.025602739915293955
NH,15,6,1,0,0.02053123153746128,0.022692294872703987
NH,15,7,0,0,0.016242705285549164,0.01795236964707112
NH,15,8,4,2,0.01618773117661476,0.017891609108277945
NH,16,1,4,0,0.03156609088182449,0.03465881325052488
NH,16,2,3,0,0.028181420639157295,0.030942526229291077
NH,16,3,5,0,0.027533285319805145,0.03023088914129708
NH,16,4,2,0,0.02717747539281845,0.02984021834654196
NH,16,5,4,1,0.023898843675851822,0.026240359091843322
NH,16,6,1,0,0.020894311368465424,0.022941454436948817
NH,16,7,3,1,0.01654243841767311,0.018163201961652026
NH,16,8,4,2,0.016452861949801445,0.01806484914111341
NH,17,1,4,0,0.03201581537723541,0.03494727877896773
NH,17,2,3,0,0.028344083577394485,0.030939352280807055
NH,17,3,2,0,0.02768545225262642,0.03022041471048371
NH,17,4,5,0,0.027206093072891235,0.029697163976679992
NH,17,5,4,1,0.02422178164124489,0.026439600102821502
NH,17,6,1,0,0.02125597931444645,0.02320224008257247
NH,17,7,3,1,0.016754580661654472,0.01828867996358683
NH,17,8,4,2,0.01638738065958023,0.017887858035770164
NH,18,1,4,0,0.03207965940237045,0.03486219934369371
NH,18,2,3,0,0.028338799253106117,0.03079686278245527
NH,18,3,2,0,0.028227798640727997,0.030676234148981928
NH,18,4,5,0,0.027245189994573593,0.029608395551651293
NH,18,5,4,1,0.024214468896389008,0.02631479440225
NH,18,6,1,0,0.02187650091946125,0.02377403470625382
NH,18,7,3,1,0.01664888858795166,0.018092987382566456
NH,18,8,0,0,0.01652502454817295,0.017958379567934814
NH,19,1,4,0,0.0319485142827034,0.034588125809806886
NH,19,2,2,0,0.02875102311372757,0.031126455390655103
NH,19,3,3,0,0.028265511617064476,0.030600830550010095
NH,19,4,5,0,0.027450812980532646,0.029718820867553696
NH,19,5,4,1,0.02405945397913456,0.02604726510228033
NH,19,6,1,0,0.022739142179489136,0.02461786809714222
